URL,Title,Price,Description,Color ,Composition ,Closure,Length ,Quantity ,Country of Origin ,img1,img2,img3,img4
https://www.houseofindya.com/white-blue-diamond-earring-pendant-necklace-set-290/iprdt,White Blue Diamond Earring Pendant Necklace Set, 2625,Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone. ," White, Blue "," Alloy, Stone ", Lobster Clasp, 30 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00011/d3.jpg,https://img.faballey.com/images/Product/ZNS00011/d4.jpg,https://img.faballey.com/images/Product/ZNS00011/d5.jpg,https://img.faballey.com/images/Product/ZNS00011/d6.jpg
https://www.houseofindya.com/gold-kundan-multicolor-stone-earring-necklace-set-290/iprdt,Gold Kundan Multicolor Stone Earring Necklace Set, 2000,"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads."," Gold, White, Multicolor"," Alloy, Glass, Beads ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00053/d3.jpg,https://img.faballey.com/images/Product/ZNS00053/d4.jpg,https://img.faballey.com/images/Product/ZNS00053/d5.jpg,https://img.faballey.com/images/Product/ZNS00053/d6.jpg
https://www.houseofindya.com/dual-gold-kundan-pearl-earring-necklace-set-290/iprdt,Dual Gold Kundan Pearl Earring Necklace Set, 2000,"Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan, finished off with white pearl drops."," Gold, White, Red"," Alloy, Glass, Beads, Pearl ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00056/d3.jpg,https://img.faballey.com/images/Product/ZNS00056/d4.jpg,https://img.faballey.com/images/Product/ZNS00056/d5.jpg,https://img.faballey.com/images/Product/ZNS00056/d6.jpg
https://www.houseofindya.com/floral-shaped-kundan-pendant-set-with-green-color-stone.-23/iprdt,Gold Green Kundan Floral Pendant Necklace Set, 2100,"Traditional kundan pieces get a strikingly glamorous update with this gold-plated floral pendant necklace set. The set features a floral pendant and stud earrings crafted with a beautiful mix of kundan, green beads and small crystals. ",,,,, 1N, India,https://img.faballey.com/images/Product/ZNS00063/d3.jpg,https://img.faballey.com/images/Product/ZNS00063/d4.jpg,https://img.faballey.com/images/Product/ZNS00063/d5.jpg,https://img.faballey.com/images/Product/ZNS00063/d6.jpg
https://www.houseofindya.com/white-blue-diamond-drop-string-earring-necklace-set-290/iprdt,White Blue Diamond Drop String Earring Necklace Set, 2875,Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds. ," Gold, White, Blue "," Alloy, Stone "," Lobster Clasp, Push Back",, 1N, India,https://img.faballey.com/images/Product/ZNS00031/d3.jpg,https://img.faballey.com/images/Product/ZNS00031/d4.jpg,https://img.faballey.com/images/Product/ZNS00031/d5.jpg,https://img.faballey.com/images/Product/ZNS00031/d6.jpg
https://www.houseofindya.com/blue-bead-kundan-earring-necklace-set-290/iprdt,Blue Bead Kundan Earring Necklace Set, 1750,Add color to your evening look with this green beaded piece. Features a double string of blue beads and kundan drops along with earrings ," Gold, White, Blue"," Alloy, Glass, Beads ",,, 1N, India,https://img.faballey.com/images/Product/ZNS00050/d3.jpg,https://img.faballey.com/images/Product/ZNS00050/d4.jpg,https://img.faballey.com/images/Product/ZNS00050/d5.jpg,https://img.faballey.com/images/Product/ZNS00050/d6.jpg
https://www.houseofindya.com/gold-kundan-tukdi-earring-necklace-set-290/iprdt,Gold Kundan Tukdi Earring Necklace Set, 2500,"Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing, topped with white drop pearls. "," Gold, White"," Alloy, Glass, Pearl "," Dori, Push BackLength ",, 1N, India,https://img.faballey.com/images/Product/ZNS00007/d3.jpg,https://img.faballey.com/images/Product/ZNS00007/d4.jpg,https://img.faballey.com/images/Product/ZNS00007/d5.jpg,https://img.faballey.com/images/Product/ZNS00007/d6.jpg
https://www.houseofindya.com/gold-plated-single-layer-squre-and-floral-shaped-kundan-necklace-set-23/iprdt,Gold Maroon Kundan Floral Necklace Set, 2250,Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings. ,,,,, 1N, India,https://img.faballey.com/images/Product/ZNS00058/d3.jpg,https://img.faballey.com/images/Product/ZNS00058/d4.jpg,https://img.faballey.com/images/Product/ZNS00058/d5.jpg,https://img.faballey.com/images/Product/ZNS00058/d6.jpg
https://www.houseofindya.com/gold-orb-kundan-double-pearl-earrings-necklace-set-290/iprdt,Gold Orb Kundan Double Pearl Earrings Necklace Set, 1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings"," Gold, White"," Alloy, Glass, Pearl ", Dori, 120 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00051/d3.jpg,https://img.faballey.com/images/Product/ZNS00051/d4.jpg,https://img.faballey.com/images/Product/ZNS00051/d5.jpg,https://img.faballey.com/images/Product/ZNS00051/d6.jpg
https://www.houseofindya.com/rose-gold-plated--crystal-necklace-set-23/iprdt,Rose Gold Plated Crystal Necklace Set, 2450,Give your festive look a magnificent feel with this rose gold plated necklace set. Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish. ,,,,, 1N, India,https://img.faballey.com/images/Product/ZNS00064/d3.jpg,https://img.faballey.com/images/Product/ZNS00064/d4.jpg,https://img.faballey.com/images/Product/ZNS00064/d5.jpg,https://img.faballey.com/images/Product/ZNS00064/d6.jpg
https://www.houseofindya.com/dual-gold-kundan-green-bead-earring-necklace-set-290/iprdt,Dual Gold Kundan Green Bead Earring Necklace Set, 1750,Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters. ," Gold, White, Pastel Pink, Aqua"," Alloy, Glass, Beads ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00055/d3.jpg,https://img.faballey.com/images/Product/ZNS00055/d4.jpg,https://img.faballey.com/images/Product/ZNS00055/d5.jpg,https://img.faballey.com/images/Product/ZNS00055/d6.jpg
https://www.houseofindya.com/gold-red-kundan-bead-earring-necklace-set-290/iprdt,Gold Red Kundan Bead Earring Necklace Set, 1600,If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings ,,,, 30 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00003/d3.jpg,https://img.faballey.com/images/Product/ZNS00003/d4.jpg,https://img.faballey.com/images/Product/ZNS00003/d5.jpg,https://img.faballey.com/images/Product/ZNS00003/d6.jpg
https://www.houseofindya.com/white-diamond-floral-bunch-earring-necklace-set-290/iprdt,White Diamond Floral Bunch Earring Necklace Set, 2750,A delicately detailed diamond set is a evening wear must-have. This diamond earring necklace set features a floral focal pendant. , White," Alloy, Stone ", Lobster Clasp,, 1N, India,https://img.faballey.com/images/Product/ZNS00032/d3.jpg,https://img.faballey.com/images/Product/ZNS00032/d4.jpg,https://img.faballey.com/images/Product/ZNS00032/d5.jpg,https://img.faballey.com/images/Product/ZNS00032/d6.jpg
https://www.houseofindya.com/floral-shaped-kundan-pendant-set-with-aqua-color-stone.-23/iprdt,Gold Kundan Aqua Stone Floral Pendant Necklace Set, 1475,"Make a striking statement at the next cocktail-do with this gold-plated kundan pendant necklace set. The pendant, crafted with a long aqua blue stone and a kundan encrusted floral motif, comes with kundan floral stud earrings. ",,,,, 1N, India,https://img.faballey.com/images/Product/ZNS00062/d3.jpg,https://img.faballey.com/images/Product/ZNS00062/d4.jpg,https://img.faballey.com/images/Product/ZNS00062/d5.jpg,https://img.faballey.com/images/Product/ZNS00062/d6.jpg
https://www.houseofindya.com/gold-kundan-multi-pearl-string-earring-necklace-set-290/iprdt,Gold Kundan Multi Pearl String Earring Necklace Set, 2000,"A beautiful amalgamation of kundan and yellow pearls, this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan "," Gold, White, Off"," Alloy, Glass, Beads ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00048/d3.jpg,https://img.faballey.com/images/Product/ZNS00048/d4.jpg,https://img.faballey.com/images/Product/ZNS00048/d5.jpg,https://img.faballey.com/images/Product/ZNS00048/d6.jpg
https://www.houseofindya.com/gold-textured-contemporary-choker-necklace-set-23/iprdt,Gold Textured Contemporary Choker Necklace Set, 1100,Uplift your everyday neutrals with a simple addition of this gold-plated necklace set. It features a textured statement choker necklace with a pair of dangler earrings. ,,,, 120 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00070/d3.jpg,https://img.faballey.com/images/Product/ZNS00070/d4.jpg,https://img.faballey.com/images/Product/ZNS00070/d5.jpg,https://img.faballey.com/images/Product/ZNS00070/d6.jpg
https://www.houseofindya.com/gold-kundan-blue-bead-earring-necklace-set-290/iprdt,Gold Kundan Blue Bead Earring Necklace Set, 1750,This statement kundan and blue bead set is what dream treasure troves are made of. Features a double blue bead string necklace with kundan drops and matching earring ," Gold, White, Blue ",,,, 1N, India,https://img.faballey.com/images/Product/ZNS00041/d3.jpg,https://img.faballey.com/images/Product/ZNS00041/d4.jpg,https://img.faballey.com/images/Product/ZNS00041/d5.jpg,https://img.faballey.com/images/Product/ZNS00041/d6.jpg
https://www.houseofindya.com/gold-kundan-green-bead-string-earring-necklace-set-290/iprdt,Gold Kundan Green Bead String Earring Necklace Set, 2000,"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads."," Gold, White, Green"," Alloy, Glass, Beads ", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00049/d3.jpg,https://img.faballey.com/images/Product/ZNS00049/d4.jpg,https://img.faballey.com/images/Product/ZNS00049/d5.jpg,https://img.faballey.com/images/Product/ZNS00049/d6.jpg
https://www.houseofindya.com/gold-kundan-cascade-earring-necklace-set-290/iprdt,Gold Kundan Cascade Earring Necklace Set, 2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with pearl drop beads and matching earrings "," Gold, White"," Alloy, Glass, Pearl, Beads ", Dori, 30 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00039/d3.jpg,https://img.faballey.com/images/Product/ZNS00039/d4.jpg,https://img.faballey.com/images/Product/ZNS00039/d5.jpg,https://img.faballey.com/images/Product/ZNS00039/d6.jpg
https://www.houseofindya.com/gold-kundan-blue-bead-pearl-earring-necklace-set-290/iprdt,Gold Kundan Blue Bead Pearl Earring Necklace Set, 1750,"Uplift your cocktail look with this white and blue beaded kundan set. Features a statement setting of pearls, blue beads and classic kundan along with dainty stud earrings "," Gold, White, Green"," Alloy, Glass, Beads, Pearl ", Dori, 140 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00042/d3.jpg,https://img.faballey.com/images/Product/ZNS00042/d4.jpg,https://img.faballey.com/images/Product/ZNS00042/d5.jpg,https://img.faballey.com/images/Product/ZNS00042/d6.jpg
https://www.houseofindya.com/gold-kundan-earring-pearl-string-pendant-necklace-set-290/iprdt,Gold Kundan Earring Pearl String Pendant Necklace Set, 1500,"Your search for the perfect rani haar ends here. Features a long necklace made of a statement kundan pendant and pearl beaded strings, and kundan earrings. "," Gold, White"," Alloy, Glass, Pearl "," Dori, Push Back", 19 Mm, 1N, India,https://img.faballey.com/images/Product/ZNS00008/d3.jpg,https://img.faballey.com/images/Product/ZNS00008/d4.jpg,https://img.faballey.com/images/Product/ZNS00008/d5.jpg,https://img.faballey.com/images/Product/ZNS00008/d6.jpg
https://www.houseofindya.com/gold-kundan-dual-pearl-earring-necklace-set-290/iprdt,Gold Kundan Dual Pearl Earring Necklace Set, 2000,"Elegance takes form in this stunning kundan and pearl necklace set. Features a necklace crafted from strands of minute pearls, kundan stones and pearl drops, along with matching earrings"," Gold, White"," Alloy, Glass, Pearl", Dori,, 1N, India,https://img.faballey.com/images/Product/ZNS00052/d3.jpg,https://img.faballey.com/images/Product/ZNS00052/d4.jpg,https://img.faballey.com/images/Product/ZNS00052/d5.jpg,https://img.faballey.com/images/Product/ZNS00052/d6.jpg
